City,Total,Salary,lat,long
NEW YORK,39734,98640,40.750422,-73.996328
HOUSTON,16332,83716,29.813142,-95.309789
SAN FRANCISCO,15641,111954,37.784827,-122.727802
ATLANTA,12880,83348,33.844371,-84.47405
CHICAGO,12544,84744,41.811929,-87.68732
SAN JOSE,10750,108939,37.189396,-121.705327
SUNNYVALE,8516,108440,37.189396,-121.705327
IRVING,8325,75022,32.767268,-96.777626
CHARLOTTE,7488,83802,35.26002,-80.804151
MOUNTAIN VIEW,7453,125501,37.189396,-121.705327
DALLAS,7350,78900,32.781179,-96.790329
BOSTON,6798,88313,42.370567,-71.026964
REDMOND,6627,107627,47.678756,-122.121034
SEATTLE,6437,107829,47.432251,-121.803388
AUSTIN,6309,85741,30.326374,-97.771258
PHILADELPHIA,5611,92599,40.001811,-75.11787
PHOENIX,5596,80863,33.703967,-112.351835
PLANO,5575,79571,33.104885,-96.659574
SANTA CLARA,5529,108881,37.189396,-121.705327
LOS ANGELES,5377,84666,33.973951,-118.248405
JERSEY CITY,5284,91305,40.73276,-74.075485
BELLEVUE,5172,97747,47.615471,-122.207221
ALPHARETTA,4774,75027,34.112373,-84.30205
SAN DIEGO,4418,97732,32.7211,-117.174366
RICHARDSON,3921,74523,32.962811,-96.726826
PALO ALTO,3844,117952,37.189396,-121.705327
PRINCETON,3705,74522,40.343625,-74.693953
FREMONT,3607,81969,37.565285,-121.982721
WASHINGTON,3588,85997,38.911936,-77.016719
COLUMBUS,3535,78905,40.040113,-82.897222
TAMPA,3530,76607,27.996097,-82.582035
IRVINE,3417,86969,33.718018,-117.72222
PITTSBURGH,3300,81844,40.434436,-80.024817
EDISON,3043,70817,40.519753,-74.393444
PISCATAWAY,3010,73180,40.552925,-74.457746
MINNEAPOLIS,2807,84758,44.979265,-93.273024
TROY,2626,69472,42.606088,-83.297593
MIAMI,2619,79525,25.779076,-80.19782
RICHMOND,2609,81928,37.524246,-77.493157
INDIANAPOLIS,2532,78649,39.775092,-86.13216
MILPITAS,2466,96217,37.436454,-121.861989
SAN ANTONIO,2352,77975,29.399933,-98.537495
SOMERSET,2352,68901,40.491002,-74.523648
CAMBRIDGE,2342,91179,42.380442,-71.132947
WILMINGTON,2310,82544,39.727113,-75.547844
DURHAM,2281,84757,36.004307,-78.875467
CARY,2228,79147,35.751243,-78.70732
JACKSONVILLE,2220,77663,30.337538,-81.768622
BENTONVILLE,2216,72968,36.347107,-94.223419
